id;epoch;train_score;val_score
0;tensor(5.1336, grad_fn=<SqrtBackward0>);tensor(5.2257, grad_fn=<SqrtBackward0>)
1;tensor(5.1239, grad_fn=<SqrtBackward0>);tensor(5.2162, grad_fn=<SqrtBackward0>)
2;tensor(5.1143, grad_fn=<SqrtBackward0>);tensor(5.2067, grad_fn=<SqrtBackward0>)
3;tensor(5.1046, grad_fn=<SqrtBackward0>);tensor(5.1973, grad_fn=<SqrtBackward0>)
4;tensor(5.0949, grad_fn=<SqrtBackward0>);tensor(5.1879, grad_fn=<SqrtBackward0>)
5;tensor(5.0853, grad_fn=<SqrtBackward0>);tensor(5.1785, grad_fn=<SqrtBackward0>)
6;tensor(5.0756, grad_fn=<SqrtBackward0>);tensor(5.1691, grad_fn=<SqrtBackward0>)
7;tensor(5.0660, grad_fn=<SqrtBackward0>);tensor(5.1597, grad_fn=<SqrtBackward0>)
8;tensor(5.0563, grad_fn=<SqrtBackward0>);tensor(5.1504, grad_fn=<SqrtBackward0>)
9;tensor(5.0466, grad_fn=<SqrtBackward0>);tensor(5.1410, grad_fn=<SqrtBackward0>)
10;tensor(5.0370, grad_fn=<SqrtBackward0>);tensor(5.1316, grad_fn=<SqrtBackward0>)
11;tensor(5.0273, grad_fn=<SqrtBackward0>);tensor(5.1223, grad_fn=<SqrtBackward0>)
12;tensor(5.0176, grad_fn=<SqrtBackward0>);tensor(5.1129, grad_fn=<SqrtBackward0>)
13;tensor(5.0079, grad_fn=<SqrtBackward0>);tensor(5.1035, grad_fn=<SqrtBackward0>)
14;tensor(4.9981, grad_fn=<SqrtBackward0>);tensor(5.0941, grad_fn=<SqrtBackward0>)
15;tensor(4.9884, grad_fn=<SqrtBackward0>);tensor(5.0847, grad_fn=<SqrtBackward0>)
16;tensor(4.9786, grad_fn=<SqrtBackward0>);tensor(5.0753, grad_fn=<SqrtBackward0>)
17;tensor(4.9688, grad_fn=<SqrtBackward0>);tensor(5.0659, grad_fn=<SqrtBackward0>)
18;tensor(4.9590, grad_fn=<SqrtBackward0>);tensor(5.0564, grad_fn=<SqrtBackward0>)
19;tensor(4.9491, grad_fn=<SqrtBackward0>);tensor(5.0470, grad_fn=<SqrtBackward0>)
20;tensor(4.9392, grad_fn=<SqrtBackward0>);tensor(5.0375, grad_fn=<SqrtBackward0>)
21;tensor(4.9293, grad_fn=<SqrtBackward0>);tensor(5.0280, grad_fn=<SqrtBackward0>)
22;tensor(4.9193, grad_fn=<SqrtBackward0>);tensor(5.0184, grad_fn=<SqrtBackward0>)
23;tensor(4.9094, grad_fn=<SqrtBackward0>);tensor(5.0089, grad_fn=<SqrtBackward0>)
24;tensor(4.8993, grad_fn=<SqrtBackward0>);tensor(4.9992, grad_fn=<SqrtBackward0>)
25;tensor(4.8892, grad_fn=<SqrtBackward0>);tensor(4.9896, grad_fn=<SqrtBackward0>)
26;tensor(4.8791, grad_fn=<SqrtBackward0>);tensor(4.9799, grad_fn=<SqrtBackward0>)
27;tensor(4.8690, grad_fn=<SqrtBackward0>);tensor(4.9702, grad_fn=<SqrtBackward0>)
28;tensor(4.8587, grad_fn=<SqrtBackward0>);tensor(4.9605, grad_fn=<SqrtBackward0>)
29;tensor(4.8485, grad_fn=<SqrtBackward0>);tensor(4.9507, grad_fn=<SqrtBackward0>)
30;tensor(4.8382, grad_fn=<SqrtBackward0>);tensor(4.9408, grad_fn=<SqrtBackward0>)
31;tensor(4.8278, grad_fn=<SqrtBackward0>);tensor(4.9309, grad_fn=<SqrtBackward0>)
32;tensor(4.8174, grad_fn=<SqrtBackward0>);tensor(4.9210, grad_fn=<SqrtBackward0>)
33;tensor(4.8069, grad_fn=<SqrtBackward0>);tensor(4.9110, grad_fn=<SqrtBackward0>)
34;tensor(4.7963, grad_fn=<SqrtBackward0>);tensor(4.9009, grad_fn=<SqrtBackward0>)
35;tensor(4.7857, grad_fn=<SqrtBackward0>);tensor(4.8909, grad_fn=<SqrtBackward0>)
36;tensor(4.7751, grad_fn=<SqrtBackward0>);tensor(4.8807, grad_fn=<SqrtBackward0>)
37;tensor(4.7643, grad_fn=<SqrtBackward0>);tensor(4.8705, grad_fn=<SqrtBackward0>)
38;tensor(4.7535, grad_fn=<SqrtBackward0>);tensor(4.8602, grad_fn=<SqrtBackward0>)
39;tensor(4.7427, grad_fn=<SqrtBackward0>);tensor(4.8499, grad_fn=<SqrtBackward0>)
40;tensor(4.7317, grad_fn=<SqrtBackward0>);tensor(4.8395, grad_fn=<SqrtBackward0>)
41;tensor(4.7207, grad_fn=<SqrtBackward0>);tensor(4.8290, grad_fn=<SqrtBackward0>)
42;tensor(4.7096, grad_fn=<SqrtBackward0>);tensor(4.8184, grad_fn=<SqrtBackward0>)
43;tensor(4.6985, grad_fn=<SqrtBackward0>);tensor(4.8078, grad_fn=<SqrtBackward0>)
44;tensor(4.6872, grad_fn=<SqrtBackward0>);tensor(4.7972, grad_fn=<SqrtBackward0>)
45;tensor(4.6759, grad_fn=<SqrtBackward0>);tensor(4.7864, grad_fn=<SqrtBackward0>)
46;tensor(4.6645, grad_fn=<SqrtBackward0>);tensor(4.7756, grad_fn=<SqrtBackward0>)
47;tensor(4.6531, grad_fn=<SqrtBackward0>);tensor(4.7647, grad_fn=<SqrtBackward0>)
48;tensor(4.6415, grad_fn=<SqrtBackward0>);tensor(4.7537, grad_fn=<SqrtBackward0>)
49;tensor(4.6298, grad_fn=<SqrtBackward0>);tensor(4.7426, grad_fn=<SqrtBackward0>)
50;tensor(4.6181, grad_fn=<SqrtBackward0>);tensor(4.7314, grad_fn=<SqrtBackward0>)
51;tensor(4.6063, grad_fn=<SqrtBackward0>);tensor(4.7202, grad_fn=<SqrtBackward0>)
52;tensor(4.5944, grad_fn=<SqrtBackward0>);tensor(4.7089, grad_fn=<SqrtBackward0>)
53;tensor(4.5823, grad_fn=<SqrtBackward0>);tensor(4.6974, grad_fn=<SqrtBackward0>)
54;tensor(4.5702, grad_fn=<SqrtBackward0>);tensor(4.6859, grad_fn=<SqrtBackward0>)
55;tensor(4.5580, grad_fn=<SqrtBackward0>);tensor(4.6743, grad_fn=<SqrtBackward0>)
56;tensor(4.5458, grad_fn=<SqrtBackward0>);tensor(4.6626, grad_fn=<SqrtBackward0>)
57;tensor(4.5334, grad_fn=<SqrtBackward0>);tensor(4.6509, grad_fn=<SqrtBackward0>)
58;tensor(4.5209, grad_fn=<SqrtBackward0>);tensor(4.6390, grad_fn=<SqrtBackward0>)
59;tensor(4.5083, grad_fn=<SqrtBackward0>);tensor(4.6270, grad_fn=<SqrtBackward0>)
60;tensor(4.4956, grad_fn=<SqrtBackward0>);tensor(4.6149, grad_fn=<SqrtBackward0>)
61;tensor(4.4828, grad_fn=<SqrtBackward0>);tensor(4.6027, grad_fn=<SqrtBackward0>)
62;tensor(4.4699, grad_fn=<SqrtBackward0>);tensor(4.5904, grad_fn=<SqrtBackward0>)
63;tensor(4.4568, grad_fn=<SqrtBackward0>);tensor(4.5780, grad_fn=<SqrtBackward0>)
64;tensor(4.4437, grad_fn=<SqrtBackward0>);tensor(4.5655, grad_fn=<SqrtBackward0>)
65;tensor(4.4305, grad_fn=<SqrtBackward0>);tensor(4.5529, grad_fn=<SqrtBackward0>)
66;tensor(4.4171, grad_fn=<SqrtBackward0>);tensor(4.5402, grad_fn=<SqrtBackward0>)
67;tensor(4.4037, grad_fn=<SqrtBackward0>);tensor(4.5273, grad_fn=<SqrtBackward0>)
68;tensor(4.3901, grad_fn=<SqrtBackward0>);tensor(4.5144, grad_fn=<SqrtBackward0>)
69;tensor(4.3764, grad_fn=<SqrtBackward0>);tensor(4.5013, grad_fn=<SqrtBackward0>)
70;tensor(4.3626, grad_fn=<SqrtBackward0>);tensor(4.4881, grad_fn=<SqrtBackward0>)
71;tensor(4.3487, grad_fn=<SqrtBackward0>);tensor(4.4748, grad_fn=<SqrtBackward0>)
72;tensor(4.3346, grad_fn=<SqrtBackward0>);tensor(4.4614, grad_fn=<SqrtBackward0>)
73;tensor(4.3204, grad_fn=<SqrtBackward0>);tensor(4.4479, grad_fn=<SqrtBackward0>)
74;tensor(4.3062, grad_fn=<SqrtBackward0>);tensor(4.4342, grad_fn=<SqrtBackward0>)
75;tensor(4.2917, grad_fn=<SqrtBackward0>);tensor(4.4204, grad_fn=<SqrtBackward0>)
76;tensor(4.2772, grad_fn=<SqrtBackward0>);tensor(4.4065, grad_fn=<SqrtBackward0>)
77;tensor(4.2625, grad_fn=<SqrtBackward0>);tensor(4.3925, grad_fn=<SqrtBackward0>)
78;tensor(4.2477, grad_fn=<SqrtBackward0>);tensor(4.3783, grad_fn=<SqrtBackward0>)
79;tensor(4.2328, grad_fn=<SqrtBackward0>);tensor(4.3640, grad_fn=<SqrtBackward0>)
80;tensor(4.2177, grad_fn=<SqrtBackward0>);tensor(4.3496, grad_fn=<SqrtBackward0>)
81;tensor(4.2026, grad_fn=<SqrtBackward0>);tensor(4.3350, grad_fn=<SqrtBackward0>)
82;tensor(4.1872, grad_fn=<SqrtBackward0>);tensor(4.3203, grad_fn=<SqrtBackward0>)
83;tensor(4.1718, grad_fn=<SqrtBackward0>);tensor(4.3054, grad_fn=<SqrtBackward0>)
84;tensor(4.1562, grad_fn=<SqrtBackward0>);tensor(4.2905, grad_fn=<SqrtBackward0>)
85;tensor(4.1405, grad_fn=<SqrtBackward0>);tensor(4.2753, grad_fn=<SqrtBackward0>)
86;tensor(4.1246, grad_fn=<SqrtBackward0>);tensor(4.2601, grad_fn=<SqrtBackward0>)
87;tensor(4.1086, grad_fn=<SqrtBackward0>);tensor(4.2447, grad_fn=<SqrtBackward0>)
88;tensor(4.0924, grad_fn=<SqrtBackward0>);tensor(4.2291, grad_fn=<SqrtBackward0>)
89;tensor(4.0761, grad_fn=<SqrtBackward0>);tensor(4.2135, grad_fn=<SqrtBackward0>)
90;tensor(4.0597, grad_fn=<SqrtBackward0>);tensor(4.1976, grad_fn=<SqrtBackward0>)
91;tensor(4.0431, grad_fn=<SqrtBackward0>);tensor(4.1816, grad_fn=<SqrtBackward0>)
