id;epoch;train_score;val_score
id;epoch;train_score;val_score
0;tensor(3.1395, grad_fn=<SqrtBackward0>);tensor(3.1485, grad_fn=<SqrtBackward0>)
1;tensor(3.1055, grad_fn=<SqrtBackward0>);tensor(3.1151, grad_fn=<SqrtBackward0>)
2;tensor(3.0713, grad_fn=<SqrtBackward0>);tensor(3.0814, grad_fn=<SqrtBackward0>)
3;tensor(3.0369, grad_fn=<SqrtBackward0>);tensor(3.0476, grad_fn=<SqrtBackward0>)
4;tensor(3.0023, grad_fn=<SqrtBackward0>);tensor(3.0136, grad_fn=<SqrtBackward0>)
5;tensor(2.9676, grad_fn=<SqrtBackward0>);tensor(2.9794, grad_fn=<SqrtBackward0>)
6;tensor(2.9327, grad_fn=<SqrtBackward0>);tensor(2.9450, grad_fn=<SqrtBackward0>)
7;tensor(2.8976, grad_fn=<SqrtBackward0>);tensor(2.9104, grad_fn=<SqrtBackward0>)
8;tensor(2.8622, grad_fn=<SqrtBackward0>);tensor(2.8757, grad_fn=<SqrtBackward0>)
9;tensor(2.8267, grad_fn=<SqrtBackward0>);tensor(2.8407, grad_fn=<SqrtBackward0>)
10;tensor(2.7909, grad_fn=<SqrtBackward0>);tensor(2.8056, grad_fn=<SqrtBackward0>)
11;tensor(2.7550, grad_fn=<SqrtBackward0>);tensor(2.7702, grad_fn=<SqrtBackward0>)
12;tensor(2.7188, grad_fn=<SqrtBackward0>);tensor(2.7346, grad_fn=<SqrtBackward0>)
13;tensor(2.6823, grad_fn=<SqrtBackward0>);tensor(2.6987, grad_fn=<SqrtBackward0>)
14;tensor(2.6456, grad_fn=<SqrtBackward0>);tensor(2.6626, grad_fn=<SqrtBackward0>)
15;tensor(2.6086, grad_fn=<SqrtBackward0>);tensor(2.6263, grad_fn=<SqrtBackward0>)
16;tensor(2.5713, grad_fn=<SqrtBackward0>);tensor(2.5897, grad_fn=<SqrtBackward0>)
17;tensor(2.5338, grad_fn=<SqrtBackward0>);tensor(2.5528, grad_fn=<SqrtBackward0>)
18;tensor(2.4960, grad_fn=<SqrtBackward0>);tensor(2.5156, grad_fn=<SqrtBackward0>)
19;tensor(2.4579, grad_fn=<SqrtBackward0>);tensor(2.4782, grad_fn=<SqrtBackward0>)
20;tensor(2.4195, grad_fn=<SqrtBackward0>);tensor(2.4405, grad_fn=<SqrtBackward0>)
21;tensor(2.3808, grad_fn=<SqrtBackward0>);tensor(2.4025, grad_fn=<SqrtBackward0>)
22;tensor(2.3418, grad_fn=<SqrtBackward0>);tensor(2.3643, grad_fn=<SqrtBackward0>)
23;tensor(2.3025, grad_fn=<SqrtBackward0>);tensor(2.3257, grad_fn=<SqrtBackward0>)
24;tensor(2.2629, grad_fn=<SqrtBackward0>);tensor(2.2869, grad_fn=<SqrtBackward0>)
25;tensor(2.2231, grad_fn=<SqrtBackward0>);tensor(2.2478, grad_fn=<SqrtBackward0>)
26;tensor(2.1829, grad_fn=<SqrtBackward0>);tensor(2.2084, grad_fn=<SqrtBackward0>)
27;tensor(2.1424, grad_fn=<SqrtBackward0>);tensor(2.1687, grad_fn=<SqrtBackward0>)
28;tensor(2.1016, grad_fn=<SqrtBackward0>);tensor(2.1287, grad_fn=<SqrtBackward0>)
29;tensor(2.0605, grad_fn=<SqrtBackward0>);tensor(2.0884, grad_fn=<SqrtBackward0>)
30;tensor(2.0191, grad_fn=<SqrtBackward0>);tensor(2.0478, grad_fn=<SqrtBackward0>)
31;tensor(1.9773, grad_fn=<SqrtBackward0>);tensor(2.0069, grad_fn=<SqrtBackward0>)
32;tensor(1.9353, grad_fn=<SqrtBackward0>);tensor(1.9657, grad_fn=<SqrtBackward0>)
33;tensor(1.8929, grad_fn=<SqrtBackward0>);tensor(1.9242, grad_fn=<SqrtBackward0>)
34;tensor(1.8502, grad_fn=<SqrtBackward0>);tensor(1.8824, grad_fn=<SqrtBackward0>)
35;tensor(1.8072, grad_fn=<SqrtBackward0>);tensor(1.8402, grad_fn=<SqrtBackward0>)
36;tensor(1.7638, grad_fn=<SqrtBackward0>);tensor(1.7977, grad_fn=<SqrtBackward0>)
37;tensor(1.7201, grad_fn=<SqrtBackward0>);tensor(1.7550, grad_fn=<SqrtBackward0>)
38;tensor(1.6761, grad_fn=<SqrtBackward0>);tensor(1.7118, grad_fn=<SqrtBackward0>)
39;tensor(1.6317, grad_fn=<SqrtBackward0>);tensor(1.6684, grad_fn=<SqrtBackward0>)
40;tensor(1.5870, grad_fn=<SqrtBackward0>);tensor(1.6246, grad_fn=<SqrtBackward0>)
41;tensor(1.5419, grad_fn=<SqrtBackward0>);tensor(1.5805, grad_fn=<SqrtBackward0>)
42;tensor(1.4965, grad_fn=<SqrtBackward0>);tensor(1.5360, grad_fn=<SqrtBackward0>)
43;tensor(1.4508, grad_fn=<SqrtBackward0>);tensor(1.4912, grad_fn=<SqrtBackward0>)
44;tensor(1.4047, grad_fn=<SqrtBackward0>);tensor(1.4461, grad_fn=<SqrtBackward0>)
45;tensor(1.3583, grad_fn=<SqrtBackward0>);tensor(1.4006, grad_fn=<SqrtBackward0>)
46;tensor(1.3115, grad_fn=<SqrtBackward0>);tensor(1.3547, grad_fn=<SqrtBackward0>)
47;tensor(1.2644, grad_fn=<SqrtBackward0>);tensor(1.3085, grad_fn=<SqrtBackward0>)
48;tensor(1.2170, grad_fn=<SqrtBackward0>);tensor(1.2620, grad_fn=<SqrtBackward0>)
49;tensor(1.1692, grad_fn=<SqrtBackward0>);tensor(1.2151, grad_fn=<SqrtBackward0>)
50;tensor(1.1211, grad_fn=<SqrtBackward0>);tensor(1.1678, grad_fn=<SqrtBackward0>)
51;tensor(1.0726, grad_fn=<SqrtBackward0>);tensor(1.1202, grad_fn=<SqrtBackward0>)
52;tensor(1.0239, grad_fn=<SqrtBackward0>);tensor(1.0723, grad_fn=<SqrtBackward0>)
53;tensor(0.9749, grad_fn=<SqrtBackward0>);tensor(1.0240, grad_fn=<SqrtBackward0>)
54;tensor(0.9256, grad_fn=<SqrtBackward0>);tensor(0.9755, grad_fn=<SqrtBackward0>)
55;tensor(0.8760, grad_fn=<SqrtBackward0>);tensor(0.9266, grad_fn=<SqrtBackward0>)
56;tensor(0.8263, grad_fn=<SqrtBackward0>);tensor(0.8775, grad_fn=<SqrtBackward0>)
57;tensor(0.7764, grad_fn=<SqrtBackward0>);tensor(0.8282, grad_fn=<SqrtBackward0>)
58;tensor(0.7265, grad_fn=<SqrtBackward0>);tensor(0.7788, grad_fn=<SqrtBackward0>)
59;tensor(0.6767, grad_fn=<SqrtBackward0>);tensor(0.7293, grad_fn=<SqrtBackward0>)
60;tensor(0.6270, grad_fn=<SqrtBackward0>);tensor(0.6798, grad_fn=<SqrtBackward0>)
61;tensor(0.5778, grad_fn=<SqrtBackward0>);tensor(0.6306, grad_fn=<SqrtBackward0>)
62;tensor(0.5292, grad_fn=<SqrtBackward0>);tensor(0.5818, grad_fn=<SqrtBackward0>)
63;tensor(0.4816, grad_fn=<SqrtBackward0>);tensor(0.5337, grad_fn=<SqrtBackward0>)
64;tensor(0.4355, grad_fn=<SqrtBackward0>);tensor(0.4868, grad_fn=<SqrtBackward0>)
65;tensor(0.3918, grad_fn=<SqrtBackward0>);tensor(0.4418, grad_fn=<SqrtBackward0>)
66;tensor(0.3525, grad_fn=<SqrtBackward0>);tensor(0.4005, grad_fn=<SqrtBackward0>)
67;tensor(0.3170, grad_fn=<SqrtBackward0>);tensor(0.3623, grad_fn=<SqrtBackward0>)
68;tensor(0.2861, grad_fn=<SqrtBackward0>);tensor(0.3281, grad_fn=<SqrtBackward0>)
69;tensor(0.2604, grad_fn=<SqrtBackward0>);tensor(0.2986, grad_fn=<SqrtBackward0>)
70;tensor(0.2400, grad_fn=<SqrtBackward0>);tensor(0.2741, grad_fn=<SqrtBackward0>)
71;tensor(0.2243, grad_fn=<SqrtBackward0>);tensor(0.2543, grad_fn=<SqrtBackward0>)
72;tensor(0.2125, grad_fn=<SqrtBackward0>);tensor(0.2387, grad_fn=<SqrtBackward0>)
73;tensor(0.2036, grad_fn=<SqrtBackward0>);tensor(0.2264, grad_fn=<SqrtBackward0>)
