id;fold;val_score;representation
12;0;tensor(0.0626);[add, div, tensor(6.9998), tensor(1.6568), div, add, div, tensor(6.9998), tensor(1.6568), div, add, div, 5, 0, tensor(1.6568), tensor(8.2478), tensor(6.9998)]
12;1;tensor(0.0648);[add, tensor(3.4475), tensor(1.4341)]
12;2;tensor(0.0640);[add, div, tensor(6.9998), tensor(1.6568), div, add, add, div, tensor(6.9998), tensor(1.5025), div, div, 7, 0, 1, div, div, add, tensor(7.7180), tensor(6.9998), 0, 1, tensor(6.9998)]
12;3;tensor(0.0668);[add, tensor(3.2528), tensor(1.6568)]
12;4;tensor(0.0681);[add, add, tensor(2.6921), tensor(1.6568), div, 5, add, add, 5, div, div, 6, tensor(-3.0069), 6, div, 5, div, add, 6, 8, add, 6, 8]
12;5;tensor(0.0627);[add, div, 2, 4, add, add, add, div, 2, 4, add, tensor(2.9172), tensor(1.6568), div, 5, 4, div, 0, 1]
12;6;tensor(0.0661);[add, div, tensor(6.9998), tensor(1.6568), div, add, div, tensor(6.9998), tensor(1.6568), div, div, tensor(6.9998), 6, tensor(6.9998), tensor(6.9998)]
12;7;tensor(0.0633);[add, add, tensor(2.9091), tensor(1.6568), div, 5, add, add, add, 5, div, 11, 1, div, 11, 1, add, add, 5, div, 4, 1, add, 5, div, 11, 1]
12;8;tensor(0.0759);[tensor(4.9336)]
12;9;tensor(0.0619);[add, div, tensor(6.9998), tensor(1.6568), div, add, div, tensor(6.9998), tensor(1.6568), div, add, div, 5, 0, tensor(1.6568), tensor(8.2478), tensor(6.9998)]
