id;ps;n_iter;initializer;sspace;selection_pressure;selection_method;mutation_prob;mutation_method;xo_prob;xo_method;has_elitism;allow_reproduction;score
1;50;10;<function grow at 0x00000280152AE340>;{'n_dims': 12, 'function_set': [add, mul, div], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x0000028014CC1850>, 'p_constants': 0.3, 'max_init_depth': 3, 'max_depth': 5, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_tournament.<locals>.tournament at 0x00000280152AF920>;0.2;<function prm_hoist_mtn.<locals>.hoist_mtn at 0x00000280152AFCE0>;0.8;<function swap_xo at 0x00000280152AEC00>;False;False;1.2354116
2;50;10;<function grow at 0x00000280152AE340>;{'n_dims': 12, 'function_set': [sub, mul], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x0000028014CC1850>, 'p_constants': 0.2, 'max_init_depth': 3, 'max_depth': 7, 'n_batches': 1, 'device': 'cpu'};0.4;<function prm_tournament.<locals>.tournament at 0x00000280153AC7C0>;0.15;<function prm_point_mtn.<locals>.point_mtn at 0x00000280153AEC00>;0.2;<function swap_xo at 0x00000280152AEC00>;False;True;1.8191862
3;50;10;<function full at 0x00000280152AE520>;{'n_dims': 12, 'function_set': [mul, sub, add], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000280152B32D0>, 'p_constants': 0.1, 'max_init_depth': 3, 'max_depth': 6, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_double_tournament.<locals>.double_tournament at 0x00000280152AF880>;0.1;<function prm_subtree_mtn.<locals>.subtree_mtn at 0x00000280152AFEC0>;0.9;<function swap_xo at 0x00000280152AEC00>;False;True;0.64253163
4;50;10;<function full at 0x00000280152AE520>;{'n_dims': 12, 'function_set': [sub, mul, div, add], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000280152B32D0>, 'p_constants': 0.3, 'max_init_depth': 3, 'max_depth': 8, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_rank_selection.<locals>.rank_selection at 0x00000280153ACAE0>;0.05;<function prm_subtree_mtn.<locals>.subtree_mtn at 0x00000280152AF7E0>;0.9;<function swap_xo at 0x00000280152AEC00>;False;False;1.5152773
5;50;10;<function full at 0x00000280152AE520>;{'n_dims': 12, 'function_set': [mul, div], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000280152B3350>, 'p_constants': 0.3, 'max_init_depth': 4, 'max_depth': 6, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_tournament.<locals>.tournament at 0x0000028015383600>;0.05;<function prm_point_mtn.<locals>.point_mtn at 0x0000028015534C20>;0.2;<function swap_xo at 0x00000280152AEC00>;False;False;3.8128319
6;50;10;<function grow at 0x00000280152AE340>;{'n_dims': 12, 'function_set': [mul, div, add], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x0000028014CC1850>, 'p_constants': 0.05, 'max_init_depth': 2, 'max_depth': 5, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_double_tournament.<locals>.double_tournament at 0x0000028015507C40>;0.15;<function prm_hoist_mtn.<locals>.hoist_mtn at 0x00000280152AFBA0>;0.7;<function swap_xo at 0x00000280152AEC00>;True;True;0.72869986
7;50;10;<function full at 0x00000280152AE520>;{'n_dims': 12, 'function_set': [sub, div, add, mul], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000280152B3350>, 'p_constants': 0.05, 'max_init_depth': 2, 'max_depth': 7, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_rank_selection.<locals>.rank_selection at 0x0000028015504B80>;0.5;<function prm_subtree_mtn.<locals>.subtree_mtn at 0x0000028015506980>;0.9;<function swap_xo at 0x00000280152AEC00>;True;False;0.7124172
8;50;10;<function grow at 0x00000280152AE340>;{'n_dims': 12, 'function_set': [mul, add, sub, div], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000280152B3350>, 'p_constants': 0.1, 'max_init_depth': 2, 'max_depth': 5, 'n_batches': 1, 'device': 'cpu'};0.4;<function prm_rank_selection.<locals>.rank_selection at 0x0000028015504E00>;0.2;<function prm_subtree_mtn.<locals>.subtree_mtn at 0x0000028015606E80>;0.2;<function swap_xo at 0x00000280152AEC00>;True;False;0.6209965
9;50;10;<function grow at 0x00000280152AE340>;{'n_dims': 12, 'function_set': [mul, sub, add, div], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000280152B32D0>, 'p_constants': 0.1, 'max_init_depth': 2, 'max_depth': 8, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_tournament.<locals>.tournament at 0x00000280155A5D00>;0.1;<function prm_hoist_mtn.<locals>.hoist_mtn at 0x00000280155349A0>;0.05;<function swap_xo at 0x00000280152AEC00>;True;True;0.72869986
10;50;10;<function grow at 0x00000280152AE340>;{'n_dims': 12, 'function_set': [sub, add, div], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x0000028014CC1850>, 'p_constants': 0.3, 'max_init_depth': 4, 'max_depth': 7, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_double_tournament.<locals>.double_tournament at 0x000002801564BF60>;0.05;<function prm_subtree_mtn.<locals>.subtree_mtn at 0x00000280155AF4C0>;0.7;<function swap_xo at 0x00000280152AEC00>;True;False;0.45564127
