id;fold;val_score;representation
14;0;tensor(0.4851);[mul, 2, tensor(0.7217)]
14;1;tensor(0.4629);[mul, mul, tensor(0.9084), 2, tensor(0.7550)]
14;2;tensor(0.4824);[mul, tensor(0.7247), 2]
14;3;tensor(0.4702);[mul, tensor(0.7247), 2]
14;4;tensor(0.4936);[mul, tensor(0.7247), 2]
14;5;tensor(0.4690);[mul, tensor(0.7247), 2]
14;6;tensor(0.4865);[mul, tensor(0.7247), 2]
14;7;tensor(0.4803);[mul, tensor(0.7247), 2]
14;8;tensor(0.4831);[mul, tensor(0.7247), 2]
14;9;tensor(0.4862);[mul, mul, tensor(0.7247), 2, tensor(0.9796)]
