id;fold;val_score;representation
14;0;tensor(0.8580);[sub, 6, tensor(-0.4780)]
14;1;tensor(0.8701);[sub, 6, tensor(-0.4780)]
14;2;tensor(0.8609);[sub, 6, tensor(-0.4780)]
14;3;tensor(0.8581);[sub, 6, tensor(-0.4780)]
14;4;tensor(0.8479);[sub, 6, tensor(-0.4780)]
14;5;tensor(0.8427);[sub, 6, tensor(-0.4780)]
14;6;tensor(0.8739);[sub, 6, tensor(-0.4780)]
14;7;tensor(0.8782);[sub, 6, tensor(-0.4780)]
14;8;tensor(0.8731);[sub, 6, tensor(-0.4780)]
14;9;tensor(0.8765);[sub, 6, tensor(-0.4780)]
