id;fold;val_score;representation
;0;tensor(0.1762, grad_fn=<SqrtBackward0>);repr
;1;tensor(0.1632, grad_fn=<SqrtBackward0>);repr
;2;tensor(0.1304, grad_fn=<SqrtBackward0>);repr
;3;tensor(0.1617, grad_fn=<SqrtBackward0>);repr
;4;tensor(0.1373, grad_fn=<SqrtBackward0>);repr
;5;tensor(0.1559, grad_fn=<SqrtBackward0>);repr
;6;tensor(0.1477, grad_fn=<SqrtBackward0>);repr
;7;tensor(0.1519, grad_fn=<SqrtBackward0>);repr
;8;tensor(0.1254, grad_fn=<SqrtBackward0>);repr
;9;tensor(0.1456, grad_fn=<SqrtBackward0>);repr
