i;n_iter;config_file;score
1;100;configs/config_5;0.5297925433102758
2;100;configs/config_1;0.5465540888349559
3;25;configs/config_1;0.5464179167275363
4;25;configs/config_4;0.5492742017367209
5;75;configs/config_6;0.5330471856672383
6;50;configs/config_5;0.5419331805738964
7;75;configs/config_6;0.5509134467108987
8;100;configs/config_6;0.5379288222639749
9;75;configs/config_2;0.535882528620431
10;100;configs/config_5;0.5473474254157805
11;75;configs/config_1;0.5447275416896545
12;50;configs/config_2;0.5435316911334842
13;25;configs/config_1;0.5458926183296147
14;75;configs/config_1;0.5413549838392386
15;50;configs/config_5;0.5410763677754475
16;50;configs/config_4;0.5524397375903461
17;75;configs/config_6;0.5349423414689861
18;25;configs/config_3;0.5390560514379572
19;25;configs/config_3;0.5652647803311017
20;50;configs/config_4;0.548960523072982
21;25;configs/config_2;0.5513806542908058
22;75;configs/config_6;0.5403204860880446
23;25;configs/config_6;0.5545820044899006
24;100;configs/config_1;0.5516647940903594
25;25;configs/config_3;0.5588947924484806
26;75;configs/config_6;0.543933496031964
27;75;configs/config_4;0.5498876430037523
28;75;configs/config_1;0.5438640287053748
29;25;configs/config_2;0.5433253986849397
30;50;configs/config_4;0.5399263218494758
31;50;configs/config_2;0.5430860475038506
32;50;configs/config_1;0.5488875269536313
33;25;configs/config_4;0.548858890262639
34;50;configs/config_2;0.5486889233527826
35;25;configs/config_6;0.5555095274620573
36;50;configs/config_3;0.5457124801246234
37;50;configs/config_2;0.5380695292172908
38;100;configs/config_2;0.5655558910938665
39;100;configs/config_3;0.5464785849664904
40;75;configs/config_4;0.536375666987172
41;50;configs/config_2;0.5537527412261639
42;25;configs/config_6;0.5557552796283975
43;75;configs/config_2;0.5394188969641441
44;25;configs/config_1;0.5468414912223365
45;75;configs/config_4;0.552969998514947
46;75;configs/config_4;0.5458453207131855
47;75;configs/config_4;0.5619936585789009
48;25;configs/config_5;0.5492290013684971
49;100;configs/config_2;0.542572454159677
