id;fold;val_score;representation
4;0;tensor(2.4712);"[[tensor([[ 0.3077,  0.1112,  0.0322,  0.0267],
        [ 0.3560,  0.5179,  0.1360, -0.3259],
        [-0.0647,  0.0122, -0.1163,  0.3703],
        [-0.0829, -0.0312, -0.1590, -0.3146],
        [-0.1952, -0.2177, -0.2762,  0.0828],
        [-0.0581, -0.1431,  0.0759, -0.1703],
        [-0.2166,  0.1398, -0.3392, -0.1355],
        [ 0.3682, -0.0181, -0.1192, -0.0364],
        [ 0.1037,  0.2538,  0.0552, -0.0172],
        [ 0.1352, -0.0707,  0.0788,  0.0961],
        [-0.0333,  0.1590,  0.2105, -0.0955],
        [ 0.5707,  0.4037,  0.1956, -0.1386]]), tensor([[-0.0853,  0.0611,  0.0996,  0.0985],
        [-0.0775, -0.0028, -0.4923,  0.1809],
        [ 0.0491, -0.0832,  0.3297,  0.1908],
        [ 0.2888, -0.0332,  0.0718, -0.2198]]), tensor([[ 0.1492,  0.0938,  0.3094,  0.2452],
        [-0.0403,  0.0106, -0.0365, -0.0201],
        [-0.4190,  0.0824, -0.2683,  0.1514],
        [-0.1664, -0.3032,  0.0534,  0.2894]]), tensor([[0.0960],
        [0.3738],
        [0.0527],
        [0.0854]])], [tensor([-0.0434, -0.3167, -0.8892,  0.9964]), tensor([-0.4753, -0.9962, -0.5989,  0.9411]), tensor([-1.2176,  0.5763,  1.6287, -0.3402]), tensor([2.1515])]]"
4;1;tensor(2.4689);"[[tensor([[ 0.3077,  0.1112,  0.0322,  0.0267],
        [ 0.3560,  0.5179,  0.1360, -0.3259],
        [-0.0647,  0.0122, -0.1163,  0.3703],
        [-0.0829, -0.0312, -0.1590, -0.3146],
        [-0.1952, -0.2177, -0.2762,  0.0828],
        [-0.0581, -0.1431,  0.0759, -0.1703],
        [-0.2166,  0.1398, -0.3392, -0.1355],
        [ 0.3682, -0.0181, -0.1192, -0.0364],
        [ 0.1037,  0.2538,  0.0552, -0.0172],
        [ 0.1352, -0.0707,  0.0788,  0.0961],
        [-0.0333,  0.1590,  0.2105, -0.0955],
        [ 0.5707,  0.4037,  0.1956, -0.1386]]), tensor([[-0.0853,  0.0611,  0.0996,  0.0985],
        [-0.0775, -0.0028, -0.4923,  0.1809],
        [ 0.0491, -0.0832,  0.3297,  0.1908],
        [ 0.2888, -0.0332,  0.0718, -0.2198]]), tensor([[ 0.1492,  0.0938,  0.3094,  0.2452],
        [-0.0403,  0.0106, -0.0365, -0.0201],
        [-0.4190,  0.0824, -0.2683,  0.1514],
        [-0.1664, -0.3032,  0.0534,  0.2894]]), tensor([[0.0960],
        [0.3738],
        [0.0527],
        [0.0854]])], [tensor([-0.0434, -0.3167, -0.8892,  0.9964]), tensor([-0.4753, -0.9962, -0.5989,  0.9411]), tensor([-1.2176,  0.5763,  1.6287, -0.3402]), tensor([2.1515])]]"
4;2;tensor(2.4713);"[[tensor([[ 0.3077,  0.1112,  0.0322,  0.0267],
        [ 0.3560,  0.5179,  0.1360, -0.3259],
        [-0.0647,  0.0122, -0.1163,  0.3703],
        [-0.0829, -0.0312, -0.1590, -0.3146],
        [-0.1952, -0.2177, -0.2762,  0.0828],
        [-0.0581, -0.1431,  0.0759, -0.1703],
        [-0.2166,  0.1398, -0.3392, -0.1355],
        [ 0.3682, -0.0181, -0.1192, -0.0364],
        [ 0.1037,  0.2538,  0.0552, -0.0172],
        [ 0.1352, -0.0707,  0.0788,  0.0961],
        [-0.0333,  0.1590,  0.2105, -0.0955],
        [ 0.5707,  0.4037,  0.1956, -0.1386]]), tensor([[-0.0853,  0.0611,  0.0996,  0.0985],
        [-0.0775, -0.0028, -0.4923,  0.1809],
        [ 0.0491, -0.0832,  0.3297,  0.1908],
        [ 0.2888, -0.0332,  0.0718, -0.2198]]), tensor([[ 0.1492,  0.0938,  0.3094,  0.2452],
        [-0.0403,  0.0106, -0.0365, -0.0201],
        [-0.4190,  0.0824, -0.2683,  0.1514],
        [-0.1664, -0.3032,  0.0534,  0.2894]]), tensor([[0.0960],
        [0.3738],
        [0.0527],
        [0.0854]])], [tensor([-0.0434, -0.3167, -0.8892,  0.9964]), tensor([-0.4753, -0.9962, -0.5989,  0.9411]), tensor([-1.2176,  0.5763,  1.6287, -0.3402]), tensor([2.1515])]]"
4;3;tensor(2.4736);"[[tensor([[ 0.3077,  0.1112,  0.0322,  0.0267],
        [ 0.3560,  0.5179,  0.1360, -0.3259],
        [-0.0647,  0.0122, -0.1163,  0.3703],
        [-0.0829, -0.0312, -0.1590, -0.3146],
        [-0.1952, -0.2177, -0.2762,  0.0828],
        [-0.0581, -0.1431,  0.0759, -0.1703],
        [-0.2166,  0.1398, -0.3392, -0.1355],
        [ 0.3682, -0.0181, -0.1192, -0.0364],
        [ 0.1037,  0.2538,  0.0552, -0.0172],
        [ 0.1352, -0.0707,  0.0788,  0.0961],
        [-0.0333,  0.1590,  0.2105, -0.0955],
        [ 0.5707,  0.4037,  0.1956, -0.1386]]), tensor([[-0.0853,  0.0611,  0.0996,  0.0985],
        [-0.0775, -0.0028, -0.4923,  0.1809],
        [ 0.0491, -0.0832,  0.3297,  0.1908],
        [ 0.2888, -0.0332,  0.0718, -0.2198]]), tensor([[ 0.1492,  0.0938,  0.3094,  0.2452],
        [-0.0403,  0.0106, -0.0365, -0.0201],
        [-0.4190,  0.0824, -0.2683,  0.1514],
        [-0.1664, -0.3032,  0.0534,  0.2894]]), tensor([[0.0960],
        [0.3738],
        [0.0527],
        [0.0854]])], [tensor([-0.0434, -0.3167, -0.8892,  0.9964]), tensor([-0.4753, -0.9962, -0.5989,  0.9411]), tensor([-1.2176,  0.5763,  1.6287, -0.3402]), tensor([2.1515])]]"
4;4;tensor(2.4731);"[[tensor([[ 0.3077,  0.1112,  0.0322,  0.0267],
        [ 0.3560,  0.5179,  0.1360, -0.3259],
        [-0.0647,  0.0122, -0.1163,  0.3703],
        [-0.0829, -0.0312, -0.1590, -0.3146],
        [-0.1952, -0.2177, -0.2762,  0.0828],
        [-0.0581, -0.1431,  0.0759, -0.1703],
        [-0.2166,  0.1398, -0.3392, -0.1355],
        [ 0.3682, -0.0181, -0.1192, -0.0364],
        [ 0.1037,  0.2538,  0.0552, -0.0172],
        [ 0.1352, -0.0707,  0.0788,  0.0961],
        [-0.0333,  0.1590,  0.2105, -0.0955],
        [ 0.5707,  0.4037,  0.1956, -0.1386]]), tensor([[-0.0853,  0.0611,  0.0996,  0.0985],
        [-0.0775, -0.0028, -0.4923,  0.1809],
        [ 0.0491, -0.0832,  0.3297,  0.1908],
        [ 0.2888, -0.0332,  0.0718, -0.2198]]), tensor([[ 0.1492,  0.0938,  0.3094,  0.2452],
        [-0.0403,  0.0106, -0.0365, -0.0201],
        [-0.4190,  0.0824, -0.2683,  0.1514],
        [-0.1664, -0.3032,  0.0534,  0.2894]]), tensor([[0.0960],
        [0.3738],
        [0.0527],
        [0.0854]])], [tensor([-0.0434, -0.3167, -0.8892,  0.9964]), tensor([-0.4753, -0.9962, -0.5989,  0.9411]), tensor([-1.2176,  0.5763,  1.6287, -0.3402]), tensor([2.1515])]]"
4;5;tensor(2.4706);"[[tensor([[ 0.3077,  0.1112,  0.0322,  0.0267],
        [ 0.3560,  0.5179,  0.1360, -0.3259],
        [-0.0647,  0.0122, -0.1163,  0.3703],
        [-0.0829, -0.0312, -0.1590, -0.3146],
        [-0.1952, -0.2177, -0.2762,  0.0828],
        [-0.0581, -0.1431,  0.0759, -0.1703],
        [-0.2166,  0.1398, -0.3392, -0.1355],
        [ 0.3682, -0.0181, -0.1192, -0.0364],
        [ 0.1037,  0.2538,  0.0552, -0.0172],
        [ 0.1352, -0.0707,  0.0788,  0.0961],
        [-0.0333,  0.1590,  0.2105, -0.0955],
        [ 0.5707,  0.4037,  0.1956, -0.1386]]), tensor([[-0.0853,  0.0611,  0.0996,  0.0985],
        [-0.0775, -0.0028, -0.4923,  0.1809],
        [ 0.0491, -0.0832,  0.3297,  0.1908],
        [ 0.2888, -0.0332,  0.0718, -0.2198]]), tensor([[ 0.1492,  0.0938,  0.3094,  0.2452],
        [-0.0403,  0.0106, -0.0365, -0.0201],
        [-0.4190,  0.0824, -0.2683,  0.1514],
        [-0.1664, -0.3032,  0.0534,  0.2894]]), tensor([[0.0960],
        [0.3738],
        [0.0527],
        [0.0854]])], [tensor([-0.0434, -0.3167, -0.8892,  0.9964]), tensor([-0.4753, -0.9962, -0.5989,  0.9411]), tensor([-1.2176,  0.5763,  1.6287, -0.3402]), tensor([2.1515])]]"
4;6;tensor(2.4710);"[[tensor([[ 0.3077,  0.1112,  0.0322,  0.0267],
        [ 0.3560,  0.5179,  0.1360, -0.3259],
        [-0.0647,  0.0122, -0.1163,  0.3703],
        [-0.0829, -0.0312, -0.1590, -0.3146],
        [-0.1952, -0.2177, -0.2762,  0.0828],
        [-0.0581, -0.1431,  0.0759, -0.1703],
        [-0.2166,  0.1398, -0.3392, -0.1355],
        [ 0.3682, -0.0181, -0.1192, -0.0364],
        [ 0.1037,  0.2538,  0.0552, -0.0172],
        [ 0.1352, -0.0707,  0.0788,  0.0961],
        [-0.0333,  0.1590,  0.2105, -0.0955],
        [ 0.5707,  0.4037,  0.1956, -0.1386]]), tensor([[-0.0853,  0.0611,  0.0996,  0.0985],
        [-0.0775, -0.0028, -0.4923,  0.1809],
        [ 0.0491, -0.0832,  0.3297,  0.1908],
        [ 0.2888, -0.0332,  0.0718, -0.2198]]), tensor([[ 0.1492,  0.0938,  0.3094,  0.2452],
        [-0.0403,  0.0106, -0.0365, -0.0201],
        [-0.4190,  0.0824, -0.2683,  0.1514],
        [-0.1664, -0.3032,  0.0534,  0.2894]]), tensor([[0.0960],
        [0.3738],
        [0.0527],
        [0.0854]])], [tensor([-0.0434, -0.3167, -0.8892,  0.9964]), tensor([-0.4753, -0.9962, -0.5989,  0.9411]), tensor([-1.2176,  0.5763,  1.6287, -0.3402]), tensor([2.1515])]]"
4;7;tensor(2.4729);"[[tensor([[ 0.3077,  0.1112,  0.0322,  0.0267],
        [ 0.3560,  0.5179,  0.1360, -0.3259],
        [-0.0647,  0.0122, -0.1163,  0.3703],
        [-0.0829, -0.0312, -0.1590, -0.3146],
        [-0.1952, -0.2177, -0.2762,  0.0828],
        [-0.0581, -0.1431,  0.0759, -0.1703],
        [-0.2166,  0.1398, -0.3392, -0.1355],
        [ 0.3682, -0.0181, -0.1192, -0.0364],
        [ 0.1037,  0.2538,  0.0552, -0.0172],
        [ 0.1352, -0.0707,  0.0788,  0.0961],
        [-0.0333,  0.1590,  0.2105, -0.0955],
        [ 0.5707,  0.4037,  0.1956, -0.1386]]), tensor([[-0.0853,  0.0611,  0.0996,  0.0985],
        [-0.0775, -0.0028, -0.4923,  0.1809],
        [ 0.0491, -0.0832,  0.3297,  0.1908],
        [ 0.2888, -0.0332,  0.0718, -0.2198]]), tensor([[ 0.1492,  0.0938,  0.3094,  0.2452],
        [-0.0403,  0.0106, -0.0365, -0.0201],
        [-0.4190,  0.0824, -0.2683,  0.1514],
        [-0.1664, -0.3032,  0.0534,  0.2894]]), tensor([[0.0960],
        [0.3738],
        [0.0527],
        [0.0854]])], [tensor([-0.0434, -0.3167, -0.8892,  0.9964]), tensor([-0.4753, -0.9962, -0.5989,  0.9411]), tensor([-1.2176,  0.5763,  1.6287, -0.3402]), tensor([2.1515])]]"
4;8;tensor(2.4715);"[[tensor([[ 0.3077,  0.1112,  0.0322,  0.0267],
        [ 0.3560,  0.5179,  0.1360, -0.3259],
        [-0.0647,  0.0122, -0.1163,  0.3703],
        [-0.0829, -0.0312, -0.1590, -0.3146],
        [-0.1952, -0.2177, -0.2762,  0.0828],
        [-0.0581, -0.1431,  0.0759, -0.1703],
        [-0.2166,  0.1398, -0.3392, -0.1355],
        [ 0.3682, -0.0181, -0.1192, -0.0364],
        [ 0.1037,  0.2538,  0.0552, -0.0172],
        [ 0.1352, -0.0707,  0.0788,  0.0961],
        [-0.0333,  0.1590,  0.2105, -0.0955],
        [ 0.5707,  0.4037,  0.1956, -0.1386]]), tensor([[-0.0853,  0.0611,  0.0996,  0.0985],
        [-0.0775, -0.0028, -0.4923,  0.1809],
        [ 0.0491, -0.0832,  0.3297,  0.1908],
        [ 0.2888, -0.0332,  0.0718, -0.2198]]), tensor([[ 0.1492,  0.0938,  0.3094,  0.2452],
        [-0.0403,  0.0106, -0.0365, -0.0201],
        [-0.4190,  0.0824, -0.2683,  0.1514],
        [-0.1664, -0.3032,  0.0534,  0.2894]]), tensor([[0.0960],
        [0.3738],
        [0.0527],
        [0.0854]])], [tensor([-0.0434, -0.3167, -0.8892,  0.9964]), tensor([-0.4753, -0.9962, -0.5989,  0.9411]), tensor([-1.2176,  0.5763,  1.6287, -0.3402]), tensor([2.1515])]]"
4;9;tensor(2.4685);"[[tensor([[ 0.3077,  0.1112,  0.0322,  0.0267],
        [ 0.3560,  0.5179,  0.1360, -0.3259],
        [-0.0647,  0.0122, -0.1163,  0.3703],
        [-0.0829, -0.0312, -0.1590, -0.3146],
        [-0.1952, -0.2177, -0.2762,  0.0828],
        [-0.0581, -0.1431,  0.0759, -0.1703],
        [-0.2166,  0.1398, -0.3392, -0.1355],
        [ 0.3682, -0.0181, -0.1192, -0.0364],
        [ 0.1037,  0.2538,  0.0552, -0.0172],
        [ 0.1352, -0.0707,  0.0788,  0.0961],
        [-0.0333,  0.1590,  0.2105, -0.0955],
        [ 0.5707,  0.4037,  0.1956, -0.1386]]), tensor([[-0.0853,  0.0611,  0.0996,  0.0985],
        [-0.0775, -0.0028, -0.4923,  0.1809],
        [ 0.0491, -0.0832,  0.3297,  0.1908],
        [ 0.2888, -0.0332,  0.0718, -0.2198]]), tensor([[ 0.1492,  0.0938,  0.3094,  0.2452],
        [-0.0403,  0.0106, -0.0365, -0.0201],
        [-0.4190,  0.0824, -0.2683,  0.1514],
        [-0.1664, -0.3032,  0.0534,  0.2894]]), tensor([[0.0960],
        [0.3738],
        [0.0527],
        [0.0854]])], [tensor([-0.0434, -0.3167, -0.8892,  0.9964]), tensor([-0.4753, -0.9962, -0.5989,  0.9411]), tensor([-1.2176,  0.5763,  1.6287, -0.3402]), tensor([2.1515])]]"
